ID,DAY,TIME_OF DAY,EXACT_TIME(H:M),WEATHER,GRID,CORNER,HEIGHT,NO_OF_PERSONS,WINDOWS_OPEN,HUMIDITY,TEMP_CELCIUS
63,1,MORNING,9:11,CLOUDY,H,H4,LOW,5.0,4,0.69,26.2
64,1,MORNING,9:10,CLOUDY,H,H4,HIGH,5.0,4,0.71,26.3
65,1,AFTERNOON,2:40,SUNNY,A,A1,LOW,5.0,4,0.6,32.4
66,1,AFTERNOON,3:02,SUNNY,A,A1,HIGH,5.0,4,0.62,32.4
67,1,AFTERNOON,2:43,SUNNY,A,A2,LOW,5.0,4,0.6,32.4
68,1,AFTERNOON,3.03,SUNNY,A,A2,HIGH,5.0,4,0.57,32.4
69,1,AFTERNOON,2:49,SUNNY,A,A3,LOW,5.0,4,0.6,32.0
70,1,AFTERNOON,3:04,SUNNY,A,A3,HIGH,5.0,4,0.55,32.4
71,1,AFTERNOON,2:48,SUNNY,A,A4,LOW,5.0,4,0.62,32.0
72,1,AFTERNOON,3:05,SUNNY,A,A4,HIGH,5.0,4,0.55,32.4
73,1,AFTERNOON,2:46,SUNNY,B,B1,LOW,5.0,4,0.61,32.4
74,1,AFTERNOON,3:03,SUNNY,B,B1,HIGH,5.0,4,0.57,32.4
75,1,AFTERNOON,2:43,SUNNY,B,B2,LOW,5.0,4,0.6,32.4
76,1,AFTERNOON,3:03,SUNNY,B,B2,HIGH,5.0,4,0.57,32.4
77,1,AFTERNOON,2:49,SUNNY,B,B3,LOW,5.0,4,0.6,32.0
78,1,AFTERNOON,3:04,SUNNY,B,B3,HIGH,5.0,4,0.55,32.4
79,1,AFTERNOON,2:50,SUNNY,B,B4,LOW,5.0,4,0.63,32.0
80,1,AFTERNOON,2:57,SUNNY,B,B4,HIGH,5.0,4,0.58,32.4
81,1,AFTERNOON,2:48,SUNNY,C,C1,LOW,3.0,1,0.62,32.0
82,1,AFTERNOON,3:05,SUNNY,C,C1,HIGH,3.0,1,0.55,32.4
83,1,AFTERNOON,2:49,SUNNY,C,C2,LOW,3.0,1,0.6,32.0
84,1,AFTERNOON,3:04,SUNNY,C,C2,HIGH,3.0,1,0.55,32.4
85,1,AFTERNOON,2:53,SUNNY,C,C3,LOW,3.0,1,0.64,32.4
86,1,AFTERNOON,3:06,SUNNY,C,C3,HIGH,3.0,1,0.62,32.4
87,1,AFTERNOON,2:51,SUNNY,C,C4,LOW,3.0,1,0.61,32.4
88,1,AFTERNOON,3:06,SUNNY,C,C4,HIGH,3.0,1,0.56,32.4
89,1,AFTERNOON,2:50,SUNNY,D,D1,LOW,3.0,1,0.63,32.0
90,1,AFTERNOON,3:04,SUNNY,D,D1,HIGH,3.0,1,0.58,32.4
91,1,AFTERNOON,2:49,SUNNY,D,D2,LOW,3.0,1,0.6,32.0
92,1,AFTERNOON,3:04,SUNNY,D,D2,HIGH,3.0,1,0.55,32.4
93,1,AFTERNOON,2:53,SUNNY,D,D3,LOW,3.0,1,0.64,32.4
94,1,AFTERNOON,3:06,SUNNY,D,D3,HIGH,3.0,1,0.62,32.4
95,1,AFTERNOON,2:54,SUNNY,D,D4,LOW,3.0,1,0.58,32.4
96,1,AFTERNOON,3:07,SUNNY,D,D4,HIGH,3.0,1,0.55,32.4
97,1,AFTERNOON,2:51,SUNNY,E,E1,LOW,3.0,1,0.61,32.4
98,1,AFTERNOON,3:06,SUNNY,E,E1,HIGH,3.0,1,0.56,32.4
99,1,AFTERNOON,2:53,SUNNY,E,E2,LOW,3.0,1,0.64,32.4
100,1,AFTERNOON,3:06,SUNNY,E,E2,HIGH,3.0,1,0.6,32.4
101,1,AFTERNOON,2.57,SUNNY,E,E3,LOW,3.0,1,0.6,32.4
102,1,AFTERNOON,3:08,SUNNY,E,E3,HIGH,3.0,1,0.56,32.4
103,1,AFTERNOON,2:55,SUNNY,E,E4,LOW,3.0,1,0.6,32.4
104,1,AFTERNOON,3:12,SUNNY,E,E4,HIGH,3.0,1,0.56,32.8
105,1,AFTERNOON,2:54,SUNNY,F,F1,LOW,3.0,1,0.58,32.4
106,1,AFTERNOON,3:07,SUNNY,F,F1,HIGH,3.0,1,0.55,32.4
107,1,AFTERNOON,2:53,SUNNY,F,F2,LOW,3.0,1,0.64,32.4
108,1,AFTERNOON,3:06,SUNNY,F,F2,HIGH,3.0,1,0.62,32.4
109,1,AFTERNOON,2:57,SUNNY,F,F3,LOW,3.0,1,0.6,32.4
110,1,AFTERNOON,3:08,SUNNY,F,F3,HIGH,3.0,1,0.56,32.4
111,1,AFTERNOON,2:57,SUNNY,F,F4,LOW,3.0,1,0.6,32.4
112,1,AFTERNOON,3:07,SUNNY,F,F4,HIGH,3.0,1,0.57,32.4
113,1,AFTERNOON,2:55,SUNNY,G,G1,LOW,4.0,4,0.6,32.4
114,1,AFTERNOON,3:12,SUNNY,G,G1,HIGH,4.0,4,0.56,32.8
115,1,AFTERNOON,2:57,SUNNY,G,G2,LOW,4.0,4,0.6,32.4
116,1,AFTERNOON,3:08,SUNNY,G,G2,HIGH,4.0,4,0.56,32.4
117,1,AFTERNOON,2:58,SUNNY,G,G3,LOW,4.0,4,0.61,32.4
118,1,AFTERNOON,3:11,SUNNY,G,G3,HIGH,4.0,4,0.56,32.8
119,1,AFTERNOON,3:00,SUNNY,G,G4,LOW,4.0,4,0.6,32.4
120,1,AFTERNOON,3:12,SUNNY,G,G4,HIGH,4.0,4,0.55,32.8
121,1,AFTERNOON,2:56,SUNNY,H,H1,LOW,4.0,4,0.6,32.4
122,1,AFTERNOON,3:07,SUNNY,H,H1,HIGH,4.0,4,0.57,32.4
123,1,AFTERNOON,2:57,SUNNY,H,H2,LOW,4.0,4,0.6,32.4
124,1,AFTERNOON,3:08,SUNNY,H,H2,HIGH,4.0,4,0.56,32.4
125,1,AFTERNOON,2.56,SUNNY,H,H3,LOW,4.0,4,0.61,32.4
126,1,AFTERNOON,3:11,SUNNY,H,H3,HIGH,4.0,4,0.56,32.8
127,1,AFTERNOON,2:57,SUNNY,H,H4,LOW,4.0,4,0.58,32.4
128,1,AFTERNOON,3:07,SUNNY,H,H4,HIGH,4.0,4,0.54,32.4
129,1,EVENING,5:00,CLEAR,A,A1,LOW,3.0,4,0.54,32.8
130,1,EVENING,5:03,CLEAR,A,A1,HIGH,3.0,4,0.58,32.8
131,1,EVENING,4:59,CLEAR,A,A2,LOW,3.0,4,0.54,32.8
132,1,EVENING,5:00,CLEAR,A,A2,HIGH,3.0,4,0.56,32.8
133,1,EVENING,4:58,CLEAR,A,A3,LOW,3.0,4,0.54,32.8
134,1,EVENING,4:58,CLEAR,A,A3,HIGH,3.0,4,0.56,32.8
135,1,EVENING,5:03,CLEAR,A,A4,LOW,3.0,4,0.55,32.8
136,1,EVENING,5:04,CLEAR,A,A4,HIGH,3.0,4,0.55,32.8
137,1,EVENING,4:49,CLEAR,B,B1,LOW,3.0,4,0.5,33.5
138,1,EVENING,4:50,CLEAR,B,B1,HIGH,3.0,4,0.51,33.5
139,1,EVENING,4:59,CLEAR,B,B2,LOW,3.0,4,0.54,32.8
140,1,EVENING,5:00,CLEAR,B,B2,HIGH,3.0,4,0.56,32.8
141,1,EVENING,4:58,CLEAR,B,B3,LOW,3.0,4,0.54,32.8
142,1,EVENING,4:58,CLEAR,B,B3,HIGH,3.0,4,0.56,32.8
143,1,EVENING,4:50,CLEAR,B,B4,LOW,3.0,4,0.53,33.1
144,1,EVENING,4:51,CLEAR,B,B4,HIGH,3.0,4,0.53,33.1
145,1,EVENING,5:03,CLEAR,C,C1,LOW,2.0,1,0.55,32.8
146,1,EVENING,5:04,CLEAR,C,C1,HIGH,2.0,1,0.55,32.8
147,1,EVENING,4:58,CLEAR,C,C2,LOW,2.0,1,0.54,32.8
148,1,EVENING,4:58,CLEAR,C,C2,HIGH,2.0,1,0.56,32.8
149,1,EVENING,4:56,CLEAR,C,C3,LOW,2.0,1,0.54,32.8
150,1,EVENING,4:57,CLEAR,C,C3,HIGH,2.0,1,0.56,32.8
151,1,EVENING,5:05,CLEAR,C,C4,LOW,2.0,1,0.56,32.8
152,1,EVENING,5:05,CLEAR,C,C4,HIGH,2.0,1,0.54,32.8
153,1,EVENING,4:50,CLEAR,D,D1,LOW,2.0,1,0.53,33.1
154,1,EVENING,4:51,CLEAR,D,D1,HIGH,2.0,1,0.53,33.1
155,1,EVENING,4:58,CLEAR,D,D2,LOW,2.0,1,0.54,32.8
156,1,EVENING,4:58,CLEAR,D,D2,HIGH,2.0,1,0.56,32.8
157,1,EVENING,4:56,CLEAR,D,D3,LOW,2.0,1,0.54,32.8
158,1,EVENING,4:57,CLEAR,D,D3,HIGH,2.0,1,0.56,32.8
159,1,EVENING,4:51,CLEAR,D,D4,LOW,2.0,1,0.52,33.1
160,1,EVENING,4:51,CLEAR,D,D4,HIGH,2.0,1,0.51,33.1
161,1,EVENING,5:05,CLEAR,E,E1,LOW,2.0,1,0.56,32.8
162,1,EVENING,5:05,CLEAR,E,E1,HIGH,2.0,1,0.54,32.8
163,1,EVENING,4:56,CLEAR,E,E2,LOW,2.0,1,0.54,32.8
164,1,EVENING,4:57,CLEAR,E,E2,HIGH,2.0,1,0.56,32.8
165,1,EVENING,4:56,CLEAR,E,E3,LOW,2.0,1,0.53,32.8
166,1,EVENING,4:56,CLEAR,E,E3,HIGH,2.0,1,0.54,32.8
167,1,EVENING,5:06,CLEAR,E,E4,LOW,2.0,1,0.53,32.8
168,1,EVENING,5:06,CLEAR,E,E4,HIGH,2.0,1,0.53,32.8
169,1,EVENING,4:51,CLEAR,F,F1,LOW,2.0,1,0.52,33.1
170,1,EVENING,4:51,CLEAR,F,F1,HIGH,2.0,1,0.51,33.1
171,1,EVENING,4:56,CLEAR,F,F2,LOW,2.0,1,0.54,32.8
172,1,EVENING,4:57,CLEAR,F,F2,HIGH,2.0,1,0.56,32.8
173,1,EVENING,4:56,CLEAR,F,F3,LOW,2.0,1,0.53,32.8
174,1,EVENING,4:56,CLEAR,F,F3,HIGH,2.0,1,0.54,32.8
175,1,EVENING,4:51,CLEAR,F,F4,LOW,2.0,1,53.0,33.1
176,1,EVENING,4:53,CLEAR,F,F4,HIGH,2.0,1,0.59,33.1
177,1,EVENING,5:06,CLEAR,G,G1,LOW,3.0,5,0.53,32.8
178,1,EVENING,5:06,CLEAR,G,G1,HIGH,3.0,5,0.53,32.8
179,1,EVENING,4:56,CLEAR,G,G2,LOW,3.0,5,0.53,32.8
180,1,EVENING,4:56,CLEAR,G,G2,HIGH,3.0,5,0.54,32.8
181,1,EVENING,4:54,CLEAR,G,G3,LOW,3.0,5,0.52,33.1
182,1,EVENING,4:55,CLEAR,G,G3,HIGH,3.0,5,0.54,32.8
183,1,EVENING,5:06,CLEAR,G,G4,LOW,3.0,5,0.54,32.8
184,1,EVENING,5:07,CLEAR,G,G4,HIGH,3.0,5,0.57,32.8
185,1,EVENING,4:51,CLEAR,H,H1,LOW,2.0,4,0.53,33.1
186,1,EVENING,4.53,CLEAR,H,H1,HIGH,2.0,4,0.59,33.1
187,1,EVENING,4:56,CLEAR,H,H2,LOW,2.0,4,0.53,32.8
188,1,EVENING,4:56,CLEAR,H,H2,HIGH,2.0,4,0.54,32.8
189,1,EVENING,4:54,CLEAR,H,H3,LOW,2.0,4,0.52,33.1
190,1,EVENING,4:55,CLEAR,H,H3,HIGH,2.0,4,0.54,32.8
191,1,EVENING,4:53,CLEAR,H,H4,LOW,2.0,4,0.53,33.1
192,1,EVENING,4:53,CLEAR,H,H4,HIGH,2.0,4,0.53,33.1
